# MGM_Star_index J_Mag e_J_Mag M_dust e_M_dust det
1030 10.343 0.052 3.6 0.39 1
1031 17.714 0.038 8.9 0.41 1
1032 14.803 0.005 4.1 0.34 1
1033 15.553 0.024 2.4 0.36 1
1034 12.54 0.039 1.4 0.36 0
1036 11.747 0.022 23.6 0.35 1
1037 12.667 0.001 1.7 0.43 0
1038 11.893 0.002 11.2 0.34 1
1039 14.459 0.008 103.5 0.41 1
1040 13.461 0.004 1.4 0.36 0
1041 16.5 0.024 2.3 0.36 1
1043 14.756 0.011 42.2 0.39 1
1044 11.809 0.001 1.4 0.36 0
1045 9.494 0.034 1.4 0.34 0
1047 14.114 0.005 4.1 0.42 1
1048 13.109 0.005 1.4 0.36 0
1049 11.547 0.064 4.6 0.36 1
1050 12.457 0.021 25.2 0.35 1
1051 12.374 0.004 1.4 0.35 0
1052 13.52 0.006 1.5 0.38 0
1053 11.383 0.027 1.6 0.4 0
1054 11.92 0.005 1.7 0.43 0
1055 12.686 0.021 1.6 0.4 0
1056 11.786 0.023 69.4 0.43 1
1057 16.193 0.069 1.5 0.34 1
1058 15.41 0.01 1.5 0.37 0
1059 16.02 0.016 1.6 0.41 0
1060 11.792 0.001 1.4 0.36 0
1061 11.626 0.022 1.4 0.36 0
1062 13.228 0.005 1.6 0.4 0
1063 14.293 0.004 1.5 0.37 0
1064 12.582 0.022 1.4 0.34 1
